,ds,y
0,2006-01-01,38.4
1,2006-02-01,38.4
2,2006-03-01,38.5
3,2006-04-01,38.8
4,2006-05-01,38.8
5,2006-06-01,38.8
6,2006-07-01,38.9
7,2006-08-01,39.0
8,2006-09-01,39.7
9,2006-10-01,40.9
10,2006-11-01,41.4
11,2006-12-01,41.4
12,2007-01-01,41.6
13,2007-02-01,41.6
14,2007-03-01,41.6
15,2007-04-01,41.8
16,2007-05-01,41.8
17,2007-06-01,42.0
18,2007-07-01,42.1
19,2007-08-01,44.4
20,2007-09-01,47.6
21,2007-10-01,48.7
22,2007-11-01,49.2
23,2007-12-01,50.5
24,2008-01-01,50.8
25,2008-02-01,51.4
26,2008-03-01,52.7
27,2008-04-01,55.6
28,2008-05-01,60.7
29,2008-06-01,61.2
30,2008-07-01,61.5
31,2008-08-01,62.3
32,2008-09-01,63.8
33,2008-10-01,63.9
34,2008-11-01,63.9
35,2008-12-01,64.2
36,2009-01-01,64.4
37,2009-02-01,65.4
38,2009-03-01,65.7
39,2009-04-01,66.1
40,2009-05-01,68.3
41,2009-06-01,68.5
42,2009-07-01,68.8
43,2009-08-01,69.0
44,2009-09-01,68.9
45,2009-10-01,69.6
46,2009-11-01,70.4
47,2009-12-01,70.4
48,2010-01-01,70.2
49,2010-02-01,70.3
50,2010-03-01,70.5
51,2010-04-01,70.4
52,2010-05-01,70.8
53,2010-06-01,71.1
54,2010-07-01,71.1
55,2010-08-01,71.2
56,2010-09-01,71.3
57,2010-10-01,71.7
58,2010-11-01,71.5
59,2010-12-01,71.5
60,2011-01-01,71.7
61,2011-02-01,72.3
62,2011-03-01,72.4
63,2011-04-01,72.5
64,2011-05-01,72.7
65,2011-06-01,72.8
66,2011-07-01,72.9
67,2011-08-01,73.0
68,2011-09-01,73.1
69,2011-10-01,73.1
70,2011-11-01,73.1
71,2011-12-01,73.2
72,2012-01-01,74.4
73,2012-02-01,75.3
74,2012-03-01,75.9
75,2012-04-01,76.2
76,2012-05-01,76.4
77,2012-06-01,76.5
78,2012-07-01,76.9
79,2012-08-01,78.0
80,2012-09-01,78.3
81,2012-10-01,79.7
82,2012-11-01,79.8
83,2012-12-01,79.9
84,2013-01-01,80.4
85,2013-02-01,80.6
86,2013-03-01,82.2
87,2013-04-01,82.4
88,2013-05-01,83.4
89,2013-06-01,83.9
90,2013-07-01,84.9
91,2013-08-01,85.2
92,2013-09-01,87.5
93,2013-10-01,88.9
94,2013-11-01,89.5
95,2013-12-01,90.4
96,2014-01-01,91.0
97,2014-02-01,91.3
98,2014-03-01,91.4
99,2014-04-01,91.6
100,2014-05-01,92.9
101,2014-06-01,95.4
102,2014-07-01,96.3
103,2014-08-01,96.5
104,2014-09-01,96.8
105,2014-10-01,97.1
106,2014-11-01,98.1
107,2014-12-01,98.6
108,2015-01-01,99.3
109,2015-02-01,99.4
110,2015-03-01,99.9
111,2015-04-01,99.9
112,2015-05-01,99.8
113,2015-06-01,99.6
114,2015-07-01,99.6
115,2015-08-01,100.0
116,2015-09-01,100.2
117,2015-10-01,100.2
118,2015-11-01,101.0
119,2015-12-01,101.0
120,2016-01-01,101.3
121,2016-02-01,101.4
122,2016-03-01,101.4
123,2016-04-01,101.4
124,2016-05-01,101.5
125,2016-06-01,101.6
126,2016-07-01,102.4
127,2016-08-01,102.8
128,2016-09-01,103.0
129,2016-10-01,102.6
130,2016-11-01,103.3
131,2016-12-01,103.7
132,2017-01-01,104.4
133,2017-02-01,104.6
134,2017-03-01,105.4
135,2017-04-01,106.8
136,2017-05-01,107.1
137,2017-06-01,107.3
138,2017-07-01,107.3
139,2017-08-01,108.0
140,2017-09-01,108.2
141,2017-10-01,110.1
142,2017-11-01,111.5
143,2017-12-01,113.3
144,2018-01-01,114.6
145,2018-02-01,114.8
146,2018-03-01,116.2
147,2018-04-01,117.1
148,2018-05-01,117.5
149,2018-06-01,118.8
150,2018-07-01,119.8
151,2018-08-01,121.7
152,2018-09-01,123.3
153,2018-10-01,124.0
154,2018-11-01,125.6
155,2018-12-01,126.2
156,2019-01-01,126.7
157,2019-02-01,127.1
158,2019-03-01,127.7
159,2019-04-01,128.1
160,2019-05-01,128.6
161,2019-06-01,128.9
162,2019-07-01,129.5
163,2019-08-01,129.6
164,2019-09-01,129.8
165,2019-10-01,130.0
166,2019-11-01,130.1
167,2019-12-01,130.4
168,2020-01-01,130.9
169,2020-02-01,131.4
170,2020-03-01,131.9
171,2020-04-01,132.2
172,2020-05-01,132.6
173,2020-06-01,132.8
174,2020-07-01,133.1
175,2020-08-01,133.3
176,2020-09-01,133.7
177,2020-10-01,134.3
178,2020-11-01,134.9
179,2020-12-01,135.4
180,2021-01-01,135.8
181,2021-02-01,137.3
182,2021-03-01,137.4
183,2021-04-01,137.8
184,2021-05-01,138.5
185,2021-06-01,139.7
186,2021-07-01,140.5
187,2021-08-01,141.8
188,2021-09-01,142.6
189,2021-10-01,143.7
190,2021-11-01,144.1
191,2021-12-01,145.5
192,2022-01-01,150.3
193,2022-02-01,155.2
194,2022-03-01,157.0
195,2022-04-01,158.7
196,2022-05-01,160.9
197,2022-06-01,163.7
198,2022-07-01,165.7
